ID,Topic,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
28,god revelation scripture doctrine faith christ bible christian belief jesus,-47.87595106519323,-48.7818911224,42.73199891296787,0.5333027384407598,0.9987529486775667,0.0012682560827521753,0.001074430684194121,0.33199666372778824,3.477524994059559e-06,0.10577150758879578
29,atheism atheist god passage belief moral conclusion doctrine islam religion,-73.82485223347408,-76.21773765306382,27.232407832757225,0.520255652315395,0.9989342973075562,0.0010952660592604495,0.0009931692375796707,0.2881284974659807,3.47283684980489e-06,0.11162122496290683
30,armenians son armenian daughter rape armenia turks murder massacre soldier,-56.0399966692373,-58.05681228255241,56.48990050365486,0.5424312621759365,0.99855716917022,0.0015315400277915387,0.0011580794933508383,0.34136554530538415,3.910152279948682e-06,0.10283965479035176
31,jews muslims turkish jew muslim turks israel armenian lebanese village,-71.59296571789169,-102.44411712597669,4.492141530933222,0.49996990320231477,0.9986455109322158,0.0014291363314461142,0.0010984811423476535,0.20781759665794122,4.516155120307029e-06,0.10371768556757271
32,nhl puck hockey season league penalty playoff flyers cup draft,-72.77316666369126,-75.41387258141079,51.24738753528392,0.5380761354924306,0.9986972003270815,0.0013520363551988604,0.001088289267953888,0.23962291642375674,2.508346187887846e-06,0.11193204951402631
33,widget converter xt export toolkit server directory binary dec resource,-77.12100385599543,-81.95329965807808,30.64184570078321,0.5216286160907225,0.9992972691233368,0.0007360163663295507,0.0007963559776706032,0.2648109496149949,3.1479858850253777e-06,0.1111003270409251
34,cipher ripem privacy encrypt cryptography des security enforcement rsa serial,-57.3393267774515,-61.97584100887965,47.460254375128315,0.5348854693099004,0.9992310879497444,0.0007928095306284636,0.0008485979018499944,0.26042612071957,4.122591080111848e-06,0.121047282206925
35,homicide batf criminal abuse knife gun gang crime violent assault,-73.1723106645401,-132.63009328818853,36.64497610774853,0.5227013361043955,0.9985669853394016,0.0014773715406473193,0.0011682797285464128,0.13235582529942932,3.8669388755338475e-06,0.10552355881551047
36,entry remark output winner char contest oname printf buf int,-92.18129380825079,-101.58107814536888,-1.1478877460742751,0.4994226667872824,0.9991559009814251,0.0008820539554317027,0.0008694141649772173,0.24811913349133724,2.383578521592662e-06,0.11586063251883223
37,stephanopoulos secretary sector president congress russia administration senate community resolution,-61.43586447938041,-66.98103221490494,21.054339272715453,0.5162552647163611,0.9989414751052433,0.0011418321906336445,0.0009999042857806895,0.1852500765423017,5.2129931068240895e-06,0.10821379768453541
38,motherboard hd ide connector jumper meg modem mode mb scsus,-80.25004697785087,-83.95014989860498,37.20560454816355,0.5268542005206813,0.9988283341733916,0.001169168367608067,0.001023906088817291,0.172295407822771,4.229980146875614e-06,0.11051177376548255
39,det tor buf que pit calgary detroit cal pt min,-45.71624430596891,-49.86490745930752,68.50762914958396,0.5488351795974626,0.9987062375247959,0.0013304276847672161,0.0010717539619896003,0.2774913743867421,3.4910471308133293e-06,0.11204932724568432
40,interface mb scsi scsus vga cache ide disk controller ram,-59.39355048171509,-61.02497555596635,43.794124129794014,0.5331328455268481,0.9988824010123735,0.0010947191211489991,0.0010036529498969485,0.19848376802974513,2.9198102599495396e-06,0.11409746414436507
41,probe spacecraft mission conduct shuttle map lunar scientific saturn schedule,-76.15398025259778,-80.94146340474116,49.413022414676206,0.5350703688205612,0.9991741318113451,0.0008589438342157831,0.0008844766037070395,0.1821248938741851,4.029749441464996e-06,0.11504563780765299
42,ide motherboard mhz meg gateway quadra isa scsi simm scsus,-73.09025113144156,-76.57694708763685,36.23551543756095,0.5227613611489128,0.9988472973420987,0.0011883529055635828,0.001023276929876048,0.1522343340103922,4.004480081945918e-06,0.1091085472605657
43,apartment woman neighbor armenians rape father soldier february daughter troops,-60.817207305582485,-63.153641059325274,54.45309962090573,0.5392878885716951,0.9987376649977577,0.0013479936479426533,0.0010864545126357636,0.30517295129238403,3.5607248830459954e-06,0.11501144002015697
44,stephanopoulos myers president package congress decision secretary senate february gay,-85.50203139307197,-123.16760891736875,-2.7150289701731065,0.4959596402515923,0.9990496891976656,0.0010232866547914337,0.0009507479088097123,0.17392610875198372,4.1866350124321395e-06,0.10904736389295194
45,mb interface controller disk floppy bio scsi ram scsus rom,-77.36118976454874,-79.67670745152628,40.36676986012187,0.530040068488657,0.9990633036526644,0.0009318067924134547,0.0009201486635968631,0.19139594433657797,4.083108108731568e-06,0.10811287319879784
46,village turkish armenian armenians armenia genocide minority greek muslim turkey,-41.24252659849807,-42.48355939089409,50.03920418794841,0.5385893480736882,0.9988996098475127,0.0011370698575169935,0.0010166396037435141,0.5306459226066178,4.101728567347814e-06,0.11439067964805893
47,satellite module launch probe sequence spacecraft capability remote culture conduct,-92.633048227673,-154.64946614367508,7.477645645364905,0.49819774263591954,0.999248734711613,0.0007880344117268612,0.0008374415203108333,0.2845417286786947,3.114436943557319e-06,0.11900674046562075
48,det tor winnipeg detroit mw pp rg cal eus pit,-86.4101880350797,-504.97459667998,-113.03941187901553,0.33858734648999245,0.9986976330441621,0.0013266296782824627,0.001085185047716146,0.2455375424335796,2.8566742495355927e-06,0.1074813733697885
49,coach team hitter season braves score player pitch playoff pitcher,-57.76332851380898,-60.42115556392063,50.9738716140515,0.53841207831228,0.9983792235596474,0.001681643152528216,0.0012286526931917382,0.2557355312279457,3.010937521267681e-06,0.10721322397802184
50,israel israeli arab militia arabs palestinian lebanese islamic jew lebanon,-54.76873490070732,-57.340073604931284,57.06942837760836,0.5431950956863101,0.9987976436082682,0.0012366817639875754,0.0010614562947104797,0.2998940095573233,4.794520364408256e-06,0.10358027630354691
